code,trust_name,total_waiting_list,Date
NT205,"Nuffield Health, Brighton Hospital",0,2020-09-01
NT212,"Nuffield Health, Chichester Hospital",0,2020-09-01
NT218,"Nuffield Health, Haywards Heath Hospital",0,2020-09-01
NT241,"Nuffield Health, Woking Hospital",0,2020-09-01
NT244,Nuffield Hospital Oxford (The Manor),2,2020-09-01
RTH,Oxford University Hospitals NHS Foundation Trust,13731,2020-09-01
RPG,Oxleas NHS Foundation Trust,223,2020-09-01
H82017,Park Surgery,237,2020-09-01
RHU,Portsmouth Hospitals University National Health Service Trust,6271,2020-09-01
RPC,Queen Victoria Hospital NHS Foundation Trust,631,2020-09-01
RHW,Royal Berkshire NHS Foundation Trust,5618,2020-09-01
RA2,Royal Surrey County Hospital NHS Foundation Trust,4128,2020-09-01
R1C,Solent NHS Trust,520,2020-09-01
NTP11,Southampton NHS Treatment Centre,400,2020-09-01
RW1,Southern Health NHS Foundation Trust,834,2020-09-01
NT312,Spire Alexandra Hospital,168,2020-09-01
NT345,Spire Clare Park Hospital,11,2020-09-01
NT344,Spire Dunedin Hospital,29,2020-09-01
NT308,Spire Gatwick Park Hospital,3,2020-09-01
NT364,Spire Montefiore Hospital,6,2020-09-01
NT305,Spire Portsmouth Hospital,13,2020-09-01
NT304,Spire Southampton Hospital,36,2020-09-01
NT309,Spire Sussex Hospital,4,2020-09-01
NT343,Spire Thames Valley Hospital,1,2020-09-01
NT310,Spire Tunbridge Wells Hospital,16,2020-09-01
NTPAD,St Mary's NHS Treatment Centre,846,2020-09-01
RTP,Surrey and Sussex Healthcare NHS Trust,5231,2020-09-01
RDR,Sussex Community NHS Foundation Trust,1560,2020-09-01
NL2,Sussex Health Care Audiology Ltd,156,2020-09-01
NMC01,Sussex Medical Centre Ltd (Clive Avenue),1666,2020-09-01
AJX,Sussex MSK Partnership 2,22,2020-09-01
G82050,Sydenham House Medical Centre,0,2020-09-01
NVC02,The Berkshire Independent Hospital,10,2020-09-01
NXM01,The Horder Centre - St Johns Road,1,2020-09-01
RHM,University Hospital Southampton NHS Foundation Trust,9628,2020-09-01
RYR,Western Sussex Hospitals NHS Foundation Trust,10673,2020-09-01
G82729,White Cliffs Medical Centre,233,2020-09-01
G82071,Whitstable Medical Practice,134,2020-09-01
NTP16,Will Adams NHS Treatment Centre,127,2020-09-01
NTP13,Barlborough NHS Treatment Centre,58,2020-09-01
RQ3,Birmingham Women's and Children's NHS Foundation Trust,2289,2020-09-01
NT412,BMI - The Droitwich Spa Hospital,48,2020-09-01
NT424,BMI - The Meriden Hospital,19,2020-09-01
NT427,BMI - The Park Hospital,24,2020-09-01
NT429,BMI - The Priory Hospital,2,2020-09-01
NT441,BMI - Three Shires Hospital,8,2020-09-01
NT445,BMI The Edgbaston Hospital,0,2020-09-01
NT450,BMI The Lincoln Hospital,15,2020-09-01
NVC27,Boston West Hospital,0,2020-09-01
RFS,Chesterfield Royal Hospital NHS Foundation Trust,6117,2020-09-01
RYG,Coventry and Warwickshire Partnership NHS Trust,94,2020-09-01
NEP,Diagnostic World Ltd,961,2020-09-01
RLT,George Eliot Hospital NHS Trust,2578,2020-09-01
RNQ,Kettering General Hospital NHS Foundation Trust,6045,2020-09-01
RT5,Leicestershire Partnership NHS Trust,1362,2020-09-01
DAY01,LLR Provider Company,1351,2020-09-01
RRE,Midlands Partnership NHS Foundation Trust,130,2020-09-01
RNS,Northampton General Hospital NHS Trust,7086,2020-09-01
RX1,Nottingham University Hospitals NHS Trust,19817,2020-09-01
NT213,"Nuffield Health, Derby Hospital",10,2020-09-01
NT219,"Nuffield Health, Hereford Hospital",0,2020-09-01
NT226,"Nuffield Health, Leicester Hospital",0,2020-09-01
NT230,"Nuffield Health, North Staffordshire Hospital",0,2020-09-01
NT235,"Nuffield Health, Shrewsbury Hospital",0,2020-09-01
NT224,"Nuffield Health, Warwickshire Hospital",5,2020-09-01
NT242,"Nuffield Health, Wolverhampton Hospital",10,2020-09-01
NXV,Physiological Measurements Ltd,6701,2020-09-01
NVC17,Rowley Hall Hospital,54,2020-09-01
RXK,Sandwell and West Birmingham Hospitals NHS Trust,11716,2020-09-01
NXX,Scrivens Ltd,1412,2020-09-01
RK5,Sherwood Forest Hospitals NHS Foundation Trust,8385,2020-09-01
RXW,Shrewsbury and Telford Hospital NHS Trust,12446,2020-09-01
R1D,Shropshire Community Health NHS Trust,583,2020-09-01
RJC,South Warwickshire NHS Foundation Trust,4210,2020-09-01
NPG11,Spamedica (Birmingham),0,2020-09-01
NPG21,Spamedica Coventry,0,2020-09-01
NPG23,Spamedica Derby,0,2020-09-01
NPG15,Spamedica Newcastle-Under-Lyme,0,2020-09-01
NPG20,Spamedica Wolverhampton,0,2020-09-01
NYN,Specsavers Hearcare Group Ltd,1955,2020-09-01
NT322,Spire Leicester Hospital,19,2020-09-01
NT321,Spire Little Aston Hospital,54,2020-09-01
NT30A,Spire Nottingham Hospital,50,2020-09-01
NT320,Spire Parkway Hospital,154,2020-09-01
NT301,Spire South Bank Hospital,79,2020-09-01
RNA,The Dudley Group NHS Foundation Trust,8311,2020-09-01
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,803,2020-09-01
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,860,2020-09-01
RL4,The Royal Wolverhampton NHS Trust,13223,2020-09-01
RWD,United Lincolnshire Hospitals NHS Trust,13706,2020-09-01
RRK,University Hospitals Birmingham NHS Foundation Trust,21195,2020-09-01
RKB,University Hospitals Coventry and Warwickshire NHS Trust,10457,2020-09-01
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,14768,2020-09-01
RWE,University Hospitals of Leicester NHS Trust,21000,2020-09-01
RJE,University Hospitals of North Midlands NHS Trust,15348,2020-09-01
RBK,Walsall Healthcare NHS Trust,4836,2020-09-01
NVC21,West Midlands Hospital,199,2020-09-01
NVC23,Woodland Hospital,79,2020-09-01
NVC40,Woodthorpe Hospital,135,2020-09-01
RWP,Worcestershire Acute Hospitals NHS Trust,12595,2020-09-01
RLQ,Wye Valley NHS Trust,4467,2020-09-01
NT933,Alliance Medical MRI Service - Essex,0,2020-09-01
RC9,Bedfordshire Hospitals NHS Foundation Trust,10608,2020-09-01
NVC31,Blakelands Hospital,111,2020-09-01
NT423,BMI - The Manor Hospital,2,2020-09-01
NT432,BMI - The Sandringham Hospital,0,2020-09-01
NT434,BMI - The Saxon Clinic,6,2020-09-01
NT446,BMI St Edmunds Hospital,0,2020-09-01
RGT,Cambridge University Hospitals NHS Foundation Trust,15223,2020-09-01
RYV,Cambridgeshire Community Services NHS Trust,691,2020-09-01
RWH,East and North Hertfordshire NHS Trust,11421,2020-09-01
RDE,East Suffolk and North Essex NHS Foundation Trust,9873,2020-09-01
NVC06,Fitzwilliam Hospital,48,2020-09-01
NYR,Healthshare Diagnostics,5716,2020-09-01
RGP,James Paget University Hospitals NHS Foundation Trust,5707,2020-09-01
RAJ,Mid and South Essex NHS Foundation Trust,22040,2020-09-01
RD8,Milton Keynes University Hospital NHS Foundation Trust,6046,2020-09-01
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,17099,2020-09-01
RGN,North West Anglia NHS Foundation Trust,14096,2020-09-01
NT204,"Nuffield Health, Brentwood Hospital",2,2020-09-01
NT209,"Nuffield Health, Cambridge Hospital",2,2020-09-01
NVC13,Oaks Hospital,11,2020-09-01
NVC15,Pinehill Hospital,48,2020-09-01
NQA,Provide,328,2020-09-01
NVC19,Rivers Hospital,6,2020-09-01
RGM,Royal Papworth Hospital NHS Foundation Trust,659,2020-09-01
NPG19,Spamedica Bedford,0,2020-09-01
NPG16,Spamedica Chelmsford,0,2020-09-01
NT315,Spire Bushey Hospital,61,2020-09-01
NT317,Spire Cambridge Lea Hospital,14,2020-09-01
NT316,Spire Harpenden Hospital,92,2020-09-01
NT319,Spire Hartswood Hospital,12,2020-09-01
NT313,Spire Wellesley Hospital,156,2020-09-01
NVC18,Springfield Hospital,16,2020-09-01
NDL01,Suffolk GP Federation - Woodbridge,1302,2020-09-01
RQW,The Princess Alexandra Hospital NHS Trust,8435,2020-09-01
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6032,2020-09-01
RWG,West Hertfordshire Hospitals NHS Trust,7451,2020-09-01
RGR,West Suffolk NHS Foundation Trust,7072,2020-09-01
RBS,Alder Hey Children's NHS Foundation Trust,191,2020-09-01
NRP,Beacon Medical Services Group Limited,717,2020-09-01
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,5625,2020-09-01
NT401,BMI - The Alexandra Hospital,79,2020-09-01
NT403,BMI - The Beardwood Hospital,46,2020-09-01
NT404,BMI - The Beaumont Hospital,9,2020-09-01
NT420,BMI - The Highfield Hospital,35,2020-09-01
NT497,BMI Gisburne Park Hospital,0,2020-09-01
NT449,BMI The Lancaster Hospital,0,2020-09-01
RMC,Bolton NHS Foundation Trust,5009,2020-09-01
RY2,Bridgewater Community Healthcare NHS Foundation Trust,399,2020-09-01
RJR,Countess of Chester Hospital NHS Foundation Trust,5362,2020-09-01
DKE,Curx Health Limited,188,2020-09-01
NEM,Diagnostic Healthcare Ltd,3718,2020-09-01
RJN,East Cheshire NHS Trust,4959,2020-09-01
RXR,East Lancashire Hospitals NHS Trust,10995,2020-09-01
NVC05,Euxton Hall Hospital,210,2020-09-01
NVG01,Fairfield Hospital,24,2020-09-01
NVC07,Fulwood Hall Hospital,177,2020-09-01
NLE06,Glodwick Primary Care Centre,344,2020-09-01
NFO,Kleyn Healthcare,0,2020-09-01
RW5,Lancashire & South Cumbria NHS Foundation Trust,226,2020-09-01
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,11046,2020-09-01
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,1229,2020-09-01
REM,Liverpool University Hospitals NHS Foundation Trust,14858,2020-09-01
REP,Liverpool Women's NHS Foundation Trust,376,2020-09-01
NN5,Manchester Surgical Services Ltd,107,2020-09-01
R0A,Manchester University NHS Foundation Trust,21514,2020-09-01
C81081,Manor House Surgery,52,2020-09-01
NBG,Mediscan Diagnostics Services Limited,2547,2020-09-01
RBT,Mid Cheshire Hospitals NHS Foundation Trust,7365,2020-09-01
NV10Y,North West Cats - Inhealth Pathway Management Centre,2103,2020-09-01
NT210,"Nuffield Health, The Grosvenor Hospital, Chester",4,2020-09-01
NVC12,Oaklands Hospital,54,2020-09-01
NV6,PDS Medical Ltd,102,2020-09-01
RW6,Pennine Acute Hospitals NHS Trust,22547,2020-09-01
NVC16,Renacres Hospital,160,2020-09-01
RM3,Salford Royal NHS Foundation Trust,12992,2020-09-01
RVY,Southport and Ormskirk Hospital NHS Trust,3287,2020-09-01
NPG13,Spamedica - Skelmersdale,0,2020-09-01
NPG08,Spamedica (Bolton),0,2020-09-01
NPG01,Spamedica (Manchester),0,2020-09-01
NPG02,Spamedica (Wirral),0,2020-09-01
NPG06,Spamedica Liverpool,0,2020-09-01
NPG17,Spamedica Preston,0,2020-09-01
NPG14,Spamedica Widnes,0,2020-09-01
NT324,Spire Cheshire Hospital,139,2020-09-01
NT347,Spire Fylde Coast Hospital,32,2020-09-01
NT337,Spire Liverpool Hospital,397,2020-09-01
NT327,Spire Manchester Hospital,54,2020-09-01
NT325,Spire Murrayfield Hospital,55,2020-09-01
NT339,Spire Regency Hospital,289,2020-09-01
RBN,St Helens and Knowsley Teaching Hospitals NHS Trust,9420,2020-09-01
RWJ,Stockport NHS Foundation Trust,12007,2020-09-01
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,5403,2020-09-01
RBV,The Christie NHS Foundation Trust,331,2020-09-01
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,31,2020-09-01
NPF01,The Industrial Diagnostics Company,10,2020-09-01
RET,The Walton Centre NHS Foundation Trust,891,2020-09-01
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,6250,2020-09-01
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,11395,2020-09-01
RY7,Wirral Community Health and Care NHS Foundation Trust,99,2020-09-01
RBL,Wirral University Teaching Hospital NHS Foundation Trust,7068,2020-09-01
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",5242,2020-09-01
AAF,360 Care Ltd,467,2020-09-01
RCF,Airedale NHS Foundation Trust,3582,2020-09-01
RFF,Barnsley Hospital NHS Foundation Trust,5975,2020-09-01
NT440,BMI - Thornbury Hospital,44,2020-09-01
NT447,BMI The Duchy Hospital,3,2020-09-01
NT448,BMI The Huddersfield Hospital,5,2020-09-01
NT457,BMI Woodlands Hospital,64,2020-09-01
RAE,Bradford Teaching Hospitals NHS Foundation Trust,9699,2020-09-01
RWY,Calderdale and Huddersfield NHS Foundation Trust,11739,2020-09-01
NVC28,Clifton Park Hospital,0,2020-09-01
NVC29,Cobalt Hospital,32,2020-09-01
RXP,County Durham and Darlington NHS Foundation Trust,8338,2020-09-01
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,13907,2020-09-01
RR7,Gateshead Health NHS Foundation Trust,5652,2020-09-01
A84031,Greystoke Surgery,0,2020-09-01
RCD,Harrogate and District NHS Foundation Trust,4274,2020-09-01
RWA,Hull University Teaching Hospitals NHS Trust,9584,2020-09-01
RY6,Leeds Community Healthcare NHS Trust,691,2020-09-01
RR8,Leeds Teaching Hospitals NHS Trust,15244,2020-09-01
RXF,Mid Yorkshire Hospitals NHS Trust,6994,2020-09-01
NX2,Minor Ops Ltd,33,2020-09-01
RNN,North Cumbria Integrated Care NHS Foundation Trust,12749,2020-09-01
RVW,North Tees and Hartlepool NHS Foundation Trust,4393,2020-09-01
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,18382,2020-09-01
RTF,Northumbria Healthcare NHS Foundation Trust,9223,2020-09-01
NQH,Novus Health Ltd,0,2020-09-01
NT225,"Nuffield Health, Leeds Hospital",11,2020-09-01
NT229,"Nuffield Health, Newcastle Upon Tyne Hospital",2,2020-09-01
NT237,"Nuffield Health, Tees Hospital",0,2020-09-01
NT245,"Nuffield Health, York Hospital",16,2020-09-01
NVC14,Park Hill Hospital,0,2020-09-01
NEQ,Phoenix Health Solutions Limited HQ,189,2020-09-01
NEY,Pioneer Healthcare Limited,51,2020-09-01
RCU,Sheffield Children's NHS Foundation Trust,1076,2020-09-01
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,11729,2020-09-01
RTR,South Tees Hospitals NHS Foundation Trust,8923,2020-09-01
R0B,South Tyneside and Sunderland NHS Foundation Trust,7653,2020-09-01
RXG,South West Yorkshire Partnership NHS Foundation Trust,194,2020-09-01
NPG10,Spamedica (Sheffiled),0,2020-09-01
NPG12,Spamedica Eccleshill Treatment Centre,0,2020-09-01
NPG07,Spamedica Eye Hospital (Wakefield),0,2020-09-01
NPG18,Spamedica Hull,0,2020-09-01
NPG22,Spamedica Stockton-On-Tees,0,2020-09-01
NT348,Spire Elland Hospital,77,2020-09-01
NT351,Spire Hull and East Riding Hospital,226,2020-09-01
NT332,Spire Leeds Hospital,16,2020-09-01
NT350,Spire Methley Park Hospital,59,2020-09-01
NT333,Spire Washington Hospital,51,2020-09-01
NVC0R,Tees Valley Hospital,88,2020-09-01
AJ8,The Grange Medical Centre HQ,198,2020-09-01
NID,The Living Care Group,0,2020-09-01
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,10553,2020-09-01
RFR,The Rotherham NHS Foundation Trust,6028,2020-09-01
NVC20,The Yorkshire Clinic,157,2020-09-01
NN4,Tyneside Surgical Services Ltd,161,2020-09-01
AGA,Westcliffe Health Innovations Ltd,32,2020-09-01
RCB,York Teaching Hospital NHS Foundation Trust,6978,2020-09-01
NKO,Yorkshire Health Solutions Ltd,207,2020-09-01
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9529,2020-08-01
R1H,Barts Health NHS Trust,26237,2020-08-01
NT405,BMI - Bishops Wood,10,2020-08-01
NT409,BMI - Chelsfield Park Hospital,12,2020-08-01
NT416,BMI - Hendon Hospital,21,2020-08-01
NT436,BMI - Shirley Oaks Hospital,13,2020-08-01
NT406,BMI - The Blackheath Hospital,43,2020-08-01
NT411,BMI - The Clementine Churchill Hospital,17,2020-08-01
NT421,BMI - The Kings Oak Hospital,16,2020-08-01
NT422,BMI - The London Independent Hospital,22,2020-08-01
NT437,BMI - The Sloane Hospital,0,2020-08-01
NT451,BMI The Cavell Hospital,22,2020-08-01
NQV,Bromley Healthcare,187,2020-08-01
RV3,Central and North West London NHS Foundation Trust,24,2020-08-01
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,10274,2020-08-01
RJ6,Croydon Health Services NHS Trust,11189,2020-08-01
RVR,Epsom and St Helier University Hospitals NHS Trust,13584,2020-08-01
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,1773,2020-08-01
RJ1,Guy's and St Thomas' NHS Foundation Trust,11561,2020-08-01
RQX,Homerton University Hospital NHS Foundation Trust,4945,2020-08-01
RY9,Hounslow and Richmond Community Healthcare NHS Trust,131,2020-08-01
RYJ,Imperial College Healthcare NHS Trust,15432,2020-08-01
RJZ,King's College Hospital NHS Foundation Trust,13865,2020-08-01
RAX,Kingston Hospital NHS Foundation Trust,7815,2020-08-01
RJ2,Lewisham and Greenwich NHS Trust,16659,2020-08-01
R1K,London North West University Healthcare NHS Trust,9364,2020-08-01
RP6,Moorfields Eye Hospital NHS Foundation Trust,155,2020-08-01
NTP15,North East London Treatment Centre Care UK,192,2020-08-01
RAP,North Middlesex University Hospital NHS Trust,5055,2020-08-01
RT3,Royal Brompton & Harefield NHS Foundation Trust,260,2020-08-01
RAL,Royal Free London NHS Foundation Trust,19927,2020-08-01
RAN,Royal National Orthopaedic Hospital NHS Trust,2420,2020-08-01
RV5,South London and Maudsley NHS Foundation Trust,0,2020-08-01
NT314,Spire London East,76,2020-08-01
NT3X3,Spire St Anthony's Hospital,47,2020-08-01
RJ7,St George's University Hospitals NHS Foundation Trust,9291,2020-08-01
DK6,Surgimed Healthcare Ltd,7,2020-08-01
RAS,The Hillingdon Hospitals NHS Foundation Trust,4987,2020-08-01
RPY,The Royal Marsden NHS Foundation Trust,0,2020-08-01
RRV,University College London Hospitals NHS Foundation Trust,8501,2020-08-01
RKL,West London NHS Trust,477,2020-08-01
NVC0M,West Valley Hospital,19,2020-08-01
RKE,Whittington Health NHS Trust,3038,2020-08-01
NNV,Your Healthcare,13,2020-08-01
NT402,BMI - Bath Clinic,7,2020-08-01
NT419,BMI - The Harbour Hospital,0,2020-08-01
NT430,BMI - The Ridgeway Hospital,5,2020-08-01
NT443,BMI - The Winterbourne Hospital,3,2020-08-01
NX0,Chime Social Enterprise,1521,2020-08-01
NV302,Circle Bath Hospital,28,2020-08-01
RJ8,Cornwall Partnership NHS Foundation Trust,66,2020-08-01
NTPH3,Devizes NHS Treatment Centre,210,2020-08-01
RBD,Dorset County Hospital NHS Foundation Trust,4471,2020-08-01
RDY,Dorset Healthcare University NHS Foundation Trust,1097,2020-08-01
NVC04,Duchy Hospital,14,2020-08-01
NGL,Echogenicity Limited,480,2020-08-01
NTPH2,Emersons Green NHS Treatment Centre,630,2020-08-01
NCL01,Express Diagnostics (Derriford),65,2020-08-01
RTQ,Gloucestershire Health and Care NHS Foundation Trust,75,2020-08-01
RTE,Gloucestershire Hospitals NHS Foundation Trust,8334,2020-08-01
NWV,GP Care UK Limited,823,2020-08-01
RN3,Great Western Hospitals NHS Foundation Trust,8370,2020-08-01
NXP,Independent Health Group,0,2020-08-01
NV11D,Inhealth - Prime Endoscopy Bristol,576,2020-08-01
NVC08,Mount Stuart Hospital,2,2020-08-01
NVC09,New Hall Hospital,105,2020-08-01
RVJ,North Bristol NHS Trust,11109,2020-08-01
RBZ,Northern Devon Healthcare NHS Trust,4191,2020-08-01
NT202,"Nuffield Health, Bournemouth Hospital",0,2020-08-01
NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",16,2020-08-01
NT211,"Nuffield Health, Cheltenham Hospital",0,2020-08-01
NT215,"Nuffield Health, Exeter Hospital",0,2020-08-01
NT238,"Nuffield Health, Taunton Hospital",0,2020-08-01
NTPH5,Peninsula NHS Treatment Centre,168,2020-08-01
NEF,Peninsula Ultrasound Limited,982,2020-08-01
RD3,Poole Hospital NHS Foundation Trust,3024,2020-08-01
REF,Royal Cornwall Hospitals NHS Trust,6722,2020-08-01
RH8,Royal Devon and Exeter NHS Foundation Trust,4992,2020-08-01
RD1,Royal United Hospitals Bath NHS Foundation Trust,10882,2020-08-01
RNZ,Salisbury NHS Foundation Trust,2948,2020-08-01
NTPH1,Shepton Mallet NHS Treatment Centre,145,2020-08-01
RH5,Somerset NHS Foundation Trust,7604,2020-08-01
NT302,Spire Bristol Hospital,8,2020-08-01
NQT5K,St Martins Hospital,425,2020-08-01
AAH,Tetbury Hospital Trust Ltd,0,2020-08-01
NFC01,The Outside Clinic HQ,677,2020-08-01
RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,4716,2020-08-01
RA9,Torbay and South Devon NHS Foundation Trust,3207,2020-08-01
DTM,Ultracardiac Ltd,167,2020-08-01
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,12727,2020-08-01
RK9,University Hospitals Plymouth NHS Trust,7263,2020-08-01
NVC22,Winfield Hospital,15,2020-08-01
RA4,Yeovil District Hospital NHS Foundation Trust,1947,2020-08-01
NWT,Action For Deafness,143,2020-08-01
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,7373,2020-08-01
NVC01,Ashtead Hospital,25,2020-08-01
NWF01,Benenden Hospital,0,2020-08-01
RWX,Berkshire Healthcare NHS Foundation Trust,274,2020-08-01
DN4,Berkshire West Community Endoscopy Service,0,2020-08-01
NT417,BMI - Goring Hall Hospital,3,2020-08-01
NT433,BMI - Sarum Road Hospital,1,2020-08-01
NT408,BMI - The Chaucer Hospital,4,2020-08-01
NT410,BMI - The Chiltern Hospital,6,2020-08-01
NT418,BMI - The Hampshire Clinic,2,2020-08-01
NT428,BMI - The Princess Margaret Hospital,4,2020-08-01
NT431,BMI - The Runnymede Hospital,1,2020-08-01
NT435,BMI - The Shelburne Hospital,0,2020-08-01
NT455,BMI Mount Alvernia Hospital,1,2020-08-01
RXH,Brighton and Sussex University Hospitals NHS Trust,8230,2020-08-01
RXQ,Buckinghamshire Healthcare NHS Trust,5046,2020-08-01
NV323,Circle Reading Hospital,28,2020-08-01
RN7,Dartford and Gravesham NHS Trust,7337,2020-08-01
NGD01,Diagnostic Ultrasound Services,460,2020-08-01
NNE,Dorking Healthcare Limited (DHC),172,2020-08-01
RVV,East Kent Hospitals University NHS Foundation Trust,16173,2020-08-01
RXC,East Sussex Healthcare NHS Trust,7805,2020-08-01
NVM,Epsomedical Group,155,2020-08-01
NDJ,First Community Health and Care CIC,248,2020-08-01
RDU,Frimley Health NHS Foundation Trust,11932,2020-08-01
ATK,GP Health Partners Ltd,53,2020-08-01
RN5,Hampshire Hospitals NHS Foundation Trust,5773,2020-08-01
NWX,Here,184,2020-08-01
NVC25,Horton NHS Treatment Centre,0,2020-08-01
NV1,Inhealth Limited,21098,2020-08-01
NHA,Insidevue Limited,29,2020-08-01
R1F,Isle of Wight NHS Trust,2039,2020-08-01
G82114,Ivy Court Surgery,0,2020-08-01
RYY,Kent Community Health NHS Foundation Trust,52,2020-08-01
ADP02,Kims Hospital (Newnham Court),27,2020-08-01
RWF,Maidstone and Tunbridge Wells NHS Trust,7146,2020-08-01
DC8,Medical Imaging Partnership Ltd,520,2020-08-01
RPA,Medway NHS Foundation Trust,5617,2020-08-01
NTPAA,Mid & South Buckinghamshire Diagnostic NHS Centre,1074,2020-08-01
NVC11,North Downs Hospital,9,2020-08-01
NT205,"Nuffield Health, Brighton Hospital",1,2020-08-01
NT212,"Nuffield Health, Chichester Hospital",0,2020-08-01
NT218,"Nuffield Health, Haywards Heath Hospital",0,2020-08-01
NT241,"Nuffield Health, Woking Hospital",0,2020-08-01
RTH,Oxford University Hospitals NHS Foundation Trust,13422,2020-08-01
RPG,Oxleas NHS Foundation Trust,275,2020-08-01
RHU,Portsmouth Hospitals University National Health Service Trust,5974,2020-08-01
RPC,Queen Victoria Hospital NHS Foundation Trust,623,2020-08-01
RHW,Royal Berkshire NHS Foundation Trust,5012,2020-08-01
RA2,Royal Surrey County Hospital NHS Foundation Trust,3218,2020-08-01
R1C,Solent NHS Trust,476,2020-08-01
NTP11,Southampton NHS Treatment Centre,330,2020-08-01
RW1,Southern Health NHS Foundation Trust,933,2020-08-01
NT312,Spire Alexandra Hospital,176,2020-08-01
NT345,Spire Clare Park Hospital,3,2020-08-01
NT344,Spire Dunedin Hospital,54,2020-08-01
NT308,Spire Gatwick Park Hospital,0,2020-08-01
NT364,Spire Montefiore Hospital,1,2020-08-01
NT305,Spire Portsmouth Hospital,12,2020-08-01
NT304,Spire Southampton Hospital,21,2020-08-01
NT309,Spire Sussex Hospital,13,2020-08-01
NT343,Spire Thames Valley Hospital,7,2020-08-01
NT310,Spire Tunbridge Wells Hospital,16,2020-08-01
NTPAD,St Mary's NHS Treatment Centre,644,2020-08-01
RTP,Surrey and Sussex Healthcare NHS Trust,4281,2020-08-01
RDR,Sussex Community NHS Foundation Trust,1413,2020-08-01
NL2,Sussex Health Care Audiology Ltd,94,2020-08-01
NMC01,Sussex Medical Centre Ltd (Clive Avenue),1358,2020-08-01
AJX,Sussex MSK Partnership 2,184,2020-08-01
G82050,Sydenham House Medical Centre,0,2020-08-01
NVC02,The Berkshire Independent Hospital,7,2020-08-01
NXM01,The Horder Centre - St Johns Road,11,2020-08-01
RHM,University Hospital Southampton NHS Foundation Trust,8794,2020-08-01
RYR,Western Sussex Hospitals NHS Foundation Trust,9738,2020-08-01
G82729,White Cliffs Medical Centre,195,2020-08-01
G82071,Whitstable Medical Practice,124,2020-08-01
NTP16,Will Adams NHS Treatment Centre,54,2020-08-01
NTP13,Barlborough NHS Treatment Centre,45,2020-08-01
RQ3,Birmingham Women's and Children's NHS Foundation Trust,2228,2020-08-01
NT412,BMI - The Droitwich Spa Hospital,24,2020-08-01
NT424,BMI - The Meriden Hospital,42,2020-08-01
NT427,BMI - The Park Hospital,18,2020-08-01
NT429,BMI - The Priory Hospital,5,2020-08-01
NT441,BMI - Three Shires Hospital,12,2020-08-01
NT445,BMI The Edgbaston Hospital,0,2020-08-01
NT450,BMI The Lincoln Hospital,12,2020-08-01
NVC27,Boston West Hospital,0,2020-08-01
RFS,Chesterfield Royal Hospital NHS Foundation Trust,6032,2020-08-01
RYG,Coventry and Warwickshire Partnership NHS Trust,153,2020-08-01
NEP,Diagnostic World Ltd,786,2020-08-01
RLT,George Eliot Hospital NHS Trust,2542,2020-08-01
RNQ,Kettering General Hospital NHS Foundation Trust,5597,2020-08-01
RT5,Leicestershire Partnership NHS Trust,1099,2020-08-01
DAY01,LLR Provider Company,1391,2020-08-01
RRE,Midlands Partnership NHS Foundation Trust,118,2020-08-01
RNS,Northampton General Hospital NHS Trust,7890,2020-08-01
RX1,Nottingham University Hospitals NHS Trust,20060,2020-08-01
NT213,"Nuffield Health, Derby Hospital",3,2020-08-01
NT226,"Nuffield Health, Leicester Hospital",0,2020-08-01
NT230,"Nuffield Health, North Staffordshire Hospital",2,2020-08-01
NT235,"Nuffield Health, Shrewsbury Hospital",4,2020-08-01
NT224,"Nuffield Health, Warwickshire Hospital",4,2020-08-01
NT242,"Nuffield Health, Wolverhampton Hospital",7,2020-08-01
NXV,Physiological Measurements Ltd,7510,2020-08-01
NVC17,Rowley Hall Hospital,55,2020-08-01
RXK,Sandwell and West Birmingham Hospitals NHS Trust,12290,2020-08-01
NXX,Scrivens Ltd,947,2020-08-01
RK5,Sherwood Forest Hospitals NHS Foundation Trust,8971,2020-08-01
